Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-09,Sarasota,67.70833333333333,70.5,0.0006,0.0028,0.0067,71,75.27,81.01,77.92,432935.0
2020-03-10,Sarasota,68.3,71.92,0.0006,0.002,0.006300000000000001,72,70.5,72.92,79.56,432935.0
2020-03-11,Sarasota,68.49583333333334,72.39,0.0005,0.0016999999999999995,0.0058000000000000005,73,71.92,70.94,81.0,432935.0
2020-03-12,Sarasota,68.59583333333333,72.63,0.0001,0.0012,0.0051,74,72.39,75.27,81.01,432935.0
2020-03-13,Sarasota,68.47083333333333,72.33,0.0001,0.0007,0.0041,75,72.63,70.5,72.92,432935.0
2020-03-14,Sarasota,70.05,76.12,0.0001,0.00030000000000000003,0.0028,76,72.33,71.92,70.94,432935.0
2020-03-15,Sarasota,69.39583333333333,74.55,0.0001,0.00030000000000000003,0.0021,77,76.12,72.39,75.27,432935.0
2020-03-16,Sarasota,69.61666666666666,75.08,0.0001,0.00030000000000000003,0.0016,78,74.55,72.63,70.5,432935.0
2020-03-09,St Johns,68.42916666666666,72.23,0.0007,0.0036,0.0139,71,68.46,85.69,76.27,256943.0
2020-03-10,St Johns,69.57916666666667,74.99,0.0008,0.0024,0.013500000000000002,72,72.23,71.91,82.25,256943.0
2020-03-11,St Johns,70.39166666666667,76.94,0.0002,0.0017,0.0128,73,74.99,59.24,84.41,256943.0
2020-03-12,St Johns,71.50833333333333,79.62,0.0002,0.0012,0.0122,74,76.94,68.46,85.69,256943.0
2020-03-13,St Johns,73.15,83.56,0.0001,0.0005,0.0049,75,79.62,72.23,71.91,256943.0
2020-03-14,St Johns,71.2875,79.09,0.0001,0.0004,0.003,76,83.56,74.99,59.24,256943.0
2020-03-15,St Johns,73.04583333333333,83.31,0.0003,0.0005,0.0024,77,79.09,76.94,68.46,256943.0
2020-03-16,St Johns,72.23333333333332,81.36,0.0001,0.0005,0.0018,78,83.31,79.62,72.23,256943.0
2020-03-09,St Lucie,68.94583333333333,73.47,0.0008,0.004200000000000001,0.0079,71,71.9,90.57,77.9,362883.0
2020-03-10,St Lucie,70.57083333333333,77.37,0.0011,0.0028000000000000004,0.007700000000000002,72,73.47,78.04,84.78,362883.0
2020-03-11,St Lucie,71.16666666666666,78.8,0.0006,0.0025,0.007300000000000002,73,77.37,69.54,89.92,362883.0
2020-03-12,St Lucie,72.24583333333334,81.39,0.0006,0.0023,0.007300000000000002,74,78.8,71.9,90.57,362883.0
2020-03-13,St Lucie,73.025,83.26,0.0001,0.0013,0.0066,75,81.39,73.47,78.04,362883.0
2020-03-14,St Lucie,73.14166666666667,83.54,0.0003,0.001,0.0044,76,83.26,77.37,69.54,362883.0
2020-03-15,St Lucie,73.15416666666667,83.57,0.0002,0.0006000000000000001,0.0037,77,83.54,78.8,71.9,362883.0
2020-03-16,St Lucie,73.5125,84.43,0.0001,0.0006000000000000001,0.003,78,83.57,81.39,73.47,362883.0
2020-03-09,Volusia,68.82916666666667,73.19,0.0007,0.0036,0.0096,71,70.84,88.71,76.61,545843.0
2020-03-10,Volusia,70.20833333333333,76.5,0.0008,0.0024,0.0092,72,73.19,74.4,83.56,545843.0
2020-03-11,Volusia,70.81666666666666,77.96,0.0015,0.003,0.0097,73,76.5,61.54,86.4,545843.0
2020-03-12,Volusia,72.39166666666665,81.74,0.0002,0.0025,0.009000000000000001,74,77.96,70.84,88.71,545843.0
2020-03-13,Volusia,73.42916666666667,84.23,0.0001,0.0018,0.0062,75,81.74,73.19,74.4,545843.0
2020-03-14,Volusia,72.70416666666665,82.49,0.0001,0.0004,0.0043,76,84.23,76.5,61.54,545843.0
2020-03-15,Volusia,73.75416666666666,85.01,0.0001,0.00030000000000000003,0.0035,77,82.49,77.96,70.84,545843.0
2020-03-16,Volusia,73.15,83.56,0.0001,0.00030000000000000003,0.0029,78,85.01,81.74,73.19,545843.0
2020-03-09,Wakulla,68.35,72.04,0.0006,0.0024,0.0401,71,70.49,75.8,68.73,38689.0
2020-03-10,Wakulla,69.01666666666667,73.64,0.0006,0.002,0.0381,72,72.04,70.53,74.99,38689.0
2020-03-11,Wakulla,70.40833333333333,76.98,0.0001,0.0013,0.0324,73,73.64,64.91,77.61,38689.0
2020-03-12,Wakulla,71.17916666666666,78.83,0.0002,0.0009,0.020800000000000003,74,76.98,70.49,75.8,38689.0
2020-03-13,Wakulla,71.92083333333332,80.61,0.0001,0.0004,0.0034,75,78.83,72.04,70.53,38689.0
2020-03-14,Wakulla,72.0625,80.95,0.0002,0.0005,0.0026,76,80.61,73.64,64.91,38689.0
2020-03-15,Wakulla,72.60833333333333,82.26,0.0001,0.0004,0.0019,77,80.95,76.98,70.49,38689.0
2020-03-16,Wakulla,72.0875,81.01,0.0001,0.0004,0.0014,78,82.26,78.83,72.04,38689.0
2020-03-09,Walton,68.62083333333334,72.69,0.0007,0.0027,0.0913,71,71.54,70.82,73.16,69485.0
2020-03-10,Walton,68.66666666666666,72.8,0.0006,0.0022,0.0859,72,72.69,69.43,76.21,69485.0
2020-03-11,Walton,69.76666666666667,75.44,0.0002,0.0015,0.0827,73,72.8,65.79,72.63,69485.0
2020-03-12,Walton,70.9375,78.25,0.0014,0.0022,0.0313,74,75.44,71.54,70.82,69485.0
2020-03-13,Walton,70.9,78.16,0.0003,0.0019,0.005200000000000001,75,78.25,72.69,69.43,69485.0
2020-03-14,Walton,71.87916666666666,80.51,0.0024,0.0041,0.006499999999999999,76,78.16,72.8,65.79,69485.0
2020-03-15,Walton,72.3125,81.55,0.0002,0.0029,0.0058,77,80.51,75.44,71.54,69485.0
2020-03-16,Walton,72.30833333333334,81.54,0.0001,0.0027,0.005199999999999999,78,81.55,78.25,72.69,69485.0
